HomeTeam,AwayTeam,Prediction
Brighton,Crystal Palace,1
Brighton,Bournemouth,0
Brighton,Fulham,NA
Brighton,Wolves,NA
Brighton,Everton,0
Brighton,Brentford,NA
Brighton,Nottm Forrest,NA
Brighton,Luton Town,NA
Brighton,Burnley,0
Brighton,Sheffield United,NA
Bournemouth,Man City,1
Bournemouth,Arsenal,0
Bournemouth,Liverpool,1
Bournemouth,Aston Villa,0
Bournemouth,Tottenham,1
Bournemouth,Chelsea,1
Bournemouth,Newcastle,1
Bournemouth,Man United,1
Bournemouth,West Ham,1
Bournemouth,Crystal Palace,0
Bournemouth,Brighton,0
Bournemouth,Fulham,NA
Bournemouth,Wolves,NA
Bournemouth,Everton,0
Bournemouth,Brentford,NA
Bournemouth,Nottm Forrest,NA
Bournemouth,Luton Town,NA
Bournemouth,Burnley,1
Bournemouth,Sheffield United,NA
Fulham,Man City,1
Fulham,Arsenal,1
Fulham,Liverpool,0
Fulham,Aston Villa,0
Fulham,Tottenham,1
Fulham,Chelsea,1
Fulham,Newcastle,0
Fulham,Man United,1
Fulham,West Ham,0
Fulham,Crystal Palace,0
Fulham,Brighton,NA
Fulham,Bournemouth,NA
Fulham,Wolves,1
Fulham,Everton,0
Fulham,Brentford,NA
Fulham,Nottm Forrest,NA
Fulham,Luton Town,NA
Fulham,Burnley,0
Fulham,Sheffield United,0
Wolves,Man City,1
Wolves,Arsenal,1
Wolves,Liverpool,1
Wolves,Aston Villa,1
Wolves,Tottenham,1
Wolves,Chelsea,1
Wolves,Newcastle,1
Wolves,Man United,0
Wolves,West Ham,1
Wolves,Crystal Palace,NA
Wolves,Brighton,NA
Wolves,Bournemouth,NA
Wolves,Fulham,1
Wolves,Everton,0
Wolves,Brentford,NA
Wolves,Nottm Forrest,NA
Wolves,Luton Town,NA
Wolves,Burnley,1
Wolves,Sheffield United,NA
Everton,Man City,1
Everton,Arsenal,1
Everton,Liverpool,1
Everton,Aston Villa,0
Everton,Tottenham,1
Everton,Chelsea,1
Everton,Newcastle,1
Everton,Man United,1
Everton,West Ham,1
Everton,Crystal Palace,1
Everton,Brighton,0
Everton,Bournemouth,0
Everton,Fulham,0
Everton,Wolves,0
Everton,Brentford,NA
Everton,Nottm Forrest,NA
Everton,Luton Town,NA
Everton,Burnley,1
Everton,Sheffield United,0
Brentford,Man City,NA
Brentford,Arsenal,NA
Brentford,Liverpool,NA
Brentford,Aston Villa,NA
Brentford,Tottenham,NA
Brentford,Chelsea,NA
Brentford,Newcastle,NA
Brentford,Man United,NA
Brentford,West Ham,NA
Brentford,Crystal Palace,NA
Brentford,Brighton,NA
Brentford,Bournemouth,NA
Brentford,Fulham,NA
Brentford,Wolves,NA
Brentford,Everton,NA
Brentford,Nottm Forrest,NA
Brentford,Luton Town,NA
Brentford,Burnley,NA
Brentford,Sheffield United,NA
Nottm Forrest,Man City,NA
Nottm Forrest,Arsenal,NA
Nottm Forrest,Liverpool,NA
Nottm Forrest,Aston Villa,NA
Nottm Forrest,Tottenham,NA
Nottm Forrest,Chelsea,NA
Nottm Forrest,Newcastle,NA
Nottm Forrest,Man United,NA
Nottm Forrest,West Ham,NA
Nottm Forrest,Crystal Palace,NA
Nottm Forrest,Brighton,NA
Nottm Forrest,Bournemouth,NA
Nottm Forrest,Fulham,NA
Nottm Forrest,Wolves,NA
Nottm Forrest,Everton,NA
Nottm Forrest,Brentford,NA
Nottm Forrest,Luton Town,NA
Nottm Forrest,Burnley,NA
Nottm Forrest,Sheffield United,NA
Luton Town,Man City,NA
Luton Town,Arsenal,NA
Luton Town,Liverpool,NA
Luton Town,Aston Villa,NA
Luton Town,Tottenham,NA
Luton Town,Chelsea,NA
Luton Town,Newcastle,NA
Luton Town,Man United,NA
Luton Town,West Ham,NA
Luton Town,Crystal Palace,NA
Luton Town,Brighton,NA
Luton Town,Bournemouth,NA
Luton Town,Fulham,NA
Luton Town,Wolves,NA
Luton Town,Everton,NA
Luton Town,Brentford,NA
Luton Town,Nottm Forrest,NA
Luton Town,Burnley,NA
Luton Town,Sheffield United,NA
Burnley,Man City,1
Burnley,Arsenal,1
Burnley,Liverpool,1
Burnley,Aston Villa,0
Burnley,Tottenham,0
Burnley,Chelsea,0
Burnley,Newcastle,0
Burnley,Man United,1
Burnley,West Ham,1
Burnley,Crystal Palace,1
Burnley,Brighton,0
Burnley,Bournemouth,1
Burnley,Fulham,0
Burnley,Wolves,1
Burnley,Everton,1
Burnley,Brentford,NA
Burnley,Nottm Forrest,NA
Burnley,Luton Town,NA
Burnley,Sheffield United,NA
Sheffield United,Man City,0
Sheffield United,Arsenal,0
Sheffield United,Liverpool,1
Sheffield United,Aston Villa,0
Sheffield United,Tottenham,0
Sheffield United,Chelsea,0
Sheffield United,Newcastle,0
Sheffield United,Man United,1
Sheffield United,West Ham,0
Sheffield United,Crystal Palace,NA
Sheffield United,Brighton,NA
Sheffield United,Bournemouth,NA
Sheffield United,Fulham,0
Sheffield United,Wolves,NA
Sheffield United,Everton,0
Sheffield United,Brentford,NA
Sheffield United,Nottm Forrest,NA
Sheffield United,Luton Town,NA
Sheffield United,Burnley,NA
